"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"5048.60000000149","consent.html","external-html","0","5347","0.0-0.0","","","","","","","","",""
"86934.5","","instructions","1","92287","0.0-1.0","[{""page_index"":0,""viewing_time"":2052.5},{""page_index"":1,""viewing_time"":4459},{""page_index"":2,""viewing_time"":15379},{""page_index"":3,""viewing_time"":6060.300000000745},{""page_index"":4,""viewing_time"":7638.599999997765},{""page_index"":5,""viewing_time"":42058.10000000149},{""page_index"":6,""viewing_time"":4854.199999999255},{""page_index"":7,""viewing_time"":4431.5}]","","","","","","","",""
"null","","image-keyboard-response","2","95296","0.0-2.0-0.0","","img/nature/control/S2.jpg","null","2","Ns4,baseline","50","false","",""
"null","","html-keyboard-response","3","95605","0.0-2.0-1.0","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","95807","0.0-2.0-2.0","","","null","","","","","",""
"938.1000000014901","","image-keyboard-response","5","96748","0.0-2.0-0.1","","img/nature/control/S4.jpg","50","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","6","97056","0.0-2.0-1.1","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","97259","0.0-2.0-2.1","","","null","","","","","",""
"591.2000000029802","","image-keyboard-response","8","97851","0.0-2.0-0.2","","img/nature/control/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","9","98154","0.0-2.0-1.2","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","10","98356","0.0-2.0-2.2","","","null","","","","","",""
"809.6999999992549","","image-keyboard-response","11","99167","0.0-2.0-0.3","","img/nature/control/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","12","99474","0.0-2.0-1.3","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","13","99676","0.0-2.0-2.3","","","null","","","","","",""
"759.4000000022352","","image-keyboard-response","14","100437","0.0-2.0-0.4","","img/nature/control/S1.jpg","52","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","15","100742","0.0-2.0-1.4","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","16","100943","0.0-2.0-2.4","","","null","","","","","",""
"649.5","","image-keyboard-response","17","101594","0.0-2.0-0.5","","img/nature/control/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","18","101896","0.0-2.0-1.5","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","19","102097","0.0-2.0-2.5","","","null","","","","","",""
"665.8999999985099","","image-keyboard-response","20","102765","0.0-2.0-0.6","","img/nature/control/S4.jpg","50","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","21","103071","0.0-2.0-1.6","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","103273","0.0-2.0-2.6","","","null","","","","","",""
"938.0999999977648","","image-keyboard-response","23","104213","0.0-2.0-0.7","","img/nature/control/S2.jpg","49","2","Ns4,baseline","50","false","",""
"null","","html-keyboard-response","24","104515","0.0-2.0-1.7","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","25","104717","0.0-2.0-2.7","","","null","","","","","",""
"576.4000000022352","","image-keyboard-response","26","105295","0.0-2.0-0.8","","img/nature/control/S4.jpg","51","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","27","105601","0.0-2.0-1.8","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","28","105803","0.0-2.0-2.8","","","null","","","","","",""
"733.6999999992549","","image-keyboard-response","29","106538","0.0-2.0-0.9","","img/nature/control/S3.jpg","50","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","30","106842","0.0-2.0-1.9","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","31","107043","0.0-2.0-2.9","","","null","","","","","",""
"801.1000000014901","","image-keyboard-response","32","107846","0.0-2.0-0.10","","img/nature/control/S1.jpg","52","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","33","108148","0.0-2.0-1.10","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","34","108350","0.0-2.0-2.10","","","null","","","","","",""
"1066.699999999255","","image-keyboard-response","35","109418","0.0-2.0-0.11","","img/nature/control/S2.jpg","52","2","Ns4,baseline","50","false","",""
"null","","html-keyboard-response","36","109725","0.0-2.0-1.11","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","37","109926","0.0-2.0-2.11","","","null","","","","","",""
"881.5999999977648","","image-keyboard-response","38","110809","0.0-2.0-0.12","","img/nature/control/S1.jpg","51","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","39","111112","0.0-2.0-1.12","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","40","111313","0.0-2.0-2.12","","","null","","","","","",""
"925.4000000022352","","image-keyboard-response","41","112240","0.0-2.0-0.13","","img/nature/control/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","42","112544","0.0-2.0-1.13","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","43","112745","0.0-2.0-2.13","","","null","","","","","",""
"915.5","","image-keyboard-response","44","113662","0.0-2.0-0.14","","img/nature/control/S4.jpg","49","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","45","113966","0.0-2.0-1.14","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","46","114167","0.0-2.0-2.14","","","null","","","","","",""
"759.4000000022352","","image-keyboard-response","47","114928","0.0-2.0-0.15","","img/nature/control/S3.jpg","49","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","48","115231","0.0-2.0-1.15","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","49","115433","0.0-2.0-2.15","","","null","","","","","",""
"706","","image-keyboard-response","50","116140","0.0-2.0-0.16","","img/nature/control/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","51","116444","0.0-2.0-1.16","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","52","116646","0.0-2.0-2.16","","","null","","","","","",""
"880.5","","image-keyboard-response","53","117528","0.0-2.0-0.17","","img/nature/control/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","54","117831","0.0-2.0-1.17","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","55","118033","0.0-2.0-2.17","","","null","","","","","",""
"578.8999999985099","","image-keyboard-response","56","118613","0.0-2.0-0.18","","img/nature/control/S1.jpg","52","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","57","118916","0.0-2.0-1.18","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","58","119117","0.0-2.0-2.18","","","null","","","","","",""
"1250.5999999977648","","image-keyboard-response","59","120370","0.0-2.0-0.19","","img/nature/control/S4.jpg","52","4","Ns4,baseline","52","true","",""
