"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"153059.8999999985","consent.html","external-html","0","153178","0.0-0.0","","","","","","","","",""
"112384.30000000447","","instructions","1","265560","0.0-1.0","[{""page_index"":0,""viewing_time"":19408.90000000596},{""page_index"":1,""viewing_time"":13023.09999999404},{""page_index"":2,""viewing_time"":16276.5},{""page_index"":3,""viewing_time"":10368.80000000447},{""page_index"":4,""viewing_time"":18972.69999999553},{""page_index"":5,""viewing_time"":7582},{""page_index"":6,""viewing_time"":17255.5},{""page_index"":7,""viewing_time"":9495.90000000596}]","","","","","","","",""
"1226.8000000044703","","image-keyboard-response","2","266791","0.0-2.0-0.0","","img/nature/control/S2.jpg","49","2","baseline","50","false","",""
"null","","html-keyboard-response","3","267099","0.0-2.0-1.0","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","267301","0.0-2.0-2.0","","","null","","","","","",""
"797.1000000014901","","image-keyboard-response","5","268100","0.0-2.0-0.1","","img/nature/control/S3.jpg","50","3","baseline","51","false","",""
"null","","html-keyboard-response","6","268405","0.0-2.0-1.1","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","268607","0.0-2.0-2.1","","","null","","","","","",""
"571.5999999940395","","image-keyboard-response","8","269181","0.0-2.0-0.2","","img/nature/control/S1.jpg","51","1","baseline","49","false","",""
"null","","html-keyboard-response","9","269488","0.0-2.0-1.2","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","10","269690","0.0-2.0-2.2","","","null","","","","","",""
"496.3999999985099","","image-keyboard-response","11","270188","0.0-2.0-0.3","","img/nature/control/S4.jpg","52","4","baseline","52","true","",""
"null","","html-keyboard-response","12","270494","0.0-2.0-1.3","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","13","270695","0.0-2.0-2.3","","","null","","","","","",""
"653.3999999985099","","image-keyboard-response","14","271350","0.0-2.0-0.4","","img/nature/control/S4.jpg","52","4","baseline","52","true","",""
"null","","html-keyboard-response","15","271656","0.0-2.0-1.4","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","16","271858","0.0-2.0-2.4","","","null","","","","","",""
"648.5","","image-keyboard-response","17","272508","0.0-2.0-0.5","","img/nature/control/S2.jpg","51","2","baseline","50","false","",""
"null","","html-keyboard-response","18","272814","0.0-2.0-1.5","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","19","273017","0.0-2.0-2.5","","","null","","","","","",""
"777.7999999970198","","image-keyboard-response","20","273796","0.0-2.0-0.6","","img/nature/control/S1.jpg","50","1","baseline","49","false","",""
"null","","html-keyboard-response","21","274102","0.0-2.0-1.6","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","274304","0.0-2.0-2.6","","","null","","","","","",""
"901.2000000029802","","image-keyboard-response","23","275206","0.0-2.0-0.7","","img/nature/control/S3.jpg","50","3","baseline","51","false","",""
"null","","html-keyboard-response","24","275511","0.0-2.0-1.7","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","25","275712","0.0-2.0-2.7","","","null","","","","","",""
"810.2999999970198","","image-keyboard-response","26","276524","0.0-2.0-0.8","","img/nature/control/S3.jpg","51","3","baseline","51","true","",""
"null","","html-keyboard-response","27","276830","0.0-2.0-1.8","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","28","277033","0.0-2.0-2.8","","","null","","","","","",""
"905.7000000029802","","image-keyboard-response","29","277940","0.0-2.0-0.9","","img/nature/control/S1.jpg","50","1","baseline","49","false","",""
"null","","html-keyboard-response","30","278246","0.0-2.0-1.9","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","31","278449","0.0-2.0-2.9","","","null","","","","","",""
"571.7999999970198","","image-keyboard-response","32","279022","0.0-2.0-0.10","","img/nature/control/S2.jpg","50","2","baseline","50","true","",""
"null","","html-keyboard-response","33","279328","0.0-2.0-1.10","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","34","279531","0.0-2.0-2.10","","","null","","","","","",""
"855.4000000059605","","image-keyboard-response","35","280387","0.0-2.0-0.11","","img/nature/control/S4.jpg","52","4","baseline","52","true","",""
"null","","html-keyboard-response","36","280694","0.0-2.0-1.11","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","37","280895","0.0-2.0-2.11","","","null","","","","","",""
"875.3999999985099","","image-keyboard-response","38","281772","0.0-2.0-0.12","","img/nature/control/S3.jpg","49","3","baseline","51","false","",""
"null","","html-keyboard-response","39","282074","0.0-2.0-1.12","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","40","282277","0.0-2.0-2.12","","","null","","","","","",""
"1149.5","","image-keyboard-response","41","283427","0.0-2.0-0.13","","img/nature/control/S1.jpg","50","1","baseline","49","false","",""
"null","","html-keyboard-response","42","283734","0.0-2.0-1.13","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","43","283935","0.0-2.0-2.13","","","null","","","","","",""
"786.7999999970198","","image-keyboard-response","44","284723","0.0-2.0-0.14","","img/nature/control/S4.jpg","52","4","baseline","52","true","",""
"null","","html-keyboard-response","45","285025","0.0-2.0-1.14","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","46","285226","0.0-2.0-2.14","","","null","","","","","",""
"607.9000000059605","","image-keyboard-response","47","285835","0.0-2.0-0.15","","img/nature/control/S2.jpg","51","2","baseline","50","false","",""
"null","","html-keyboard-response","48","286142","0.0-2.0-1.15","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","49","286343","0.0-2.0-2.15","","","null","","","","","",""
"1115.1999999955297","","image-keyboard-response","50","287460","0.0-2.0-0.16","","img/nature/control/S3.jpg","50","3","baseline","51","false","",""
"null","","html-keyboard-response","51","287766","0.0-2.0-1.16","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","52","287968","0.0-2.0-2.16","","","null","","","","","",""
"1091","","image-keyboard-response","53","289060","0.0-2.0-0.17","","img/nature/control/S1.jpg","52","1","baseline","49","false","",""
"null","","html-keyboard-response","54","289363","0.0-2.0-1.17","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","55","289565","0.0-2.0-2.17","","","null","","","","","",""
"700.7000000029802","","image-keyboard-response","56","290267","0.0-2.0-0.18","","img/nature/control/S2.jpg","51","2","baseline","50","false","",""
"null","","html-keyboard-response","57","290571","0.0-2.0-1.18","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","58","290772","0.0-2.0-2.18","","","null","","","","","",""
"1077.2000000029802","","image-keyboard-response","59","291851","0.0-2.0-0.19","","img/nature/control/S4.jpg","52","4","baseline","52","true","",""
"null","","html-keyboard-response","60","292157","0.0-2.0-1.19","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","61","292359","0.0-2.0-2.19","","","null","","","","","",""
"594.1000000014901","","image-keyboard-response","62","292955","0.0-2.0-0.20","","img/nature/control/S3.jpg","50","3","baseline","51","false","",""
"null","","html-keyboard-response","63","293261","0.0-2.0-1.20","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","64","293464","0.0-2.0-2.20","","","null","","","","","",""
"1281.5999999940395","","image-keyboard-response","65","294747","0.0-2.0-0.21","","img/nature/control/S2.jpg","52","2","baseline","50","false","",""
"null","","html-keyboard-response","66","295053","0.0-2.0-1.21","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","67","295255","0.0-2.0-2.21","","","null","","","","","",""
"802.4000000059605","","image-keyboard-response","68","296059","0.0-2.0-0.22","","img/nature/control/S4.jpg","51","4","baseline","52","false","",""
"null","","html-keyboard-response","69","296362","0.0-2.0-1.22","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","70","296565","0.0-2.0-2.22","","","null","","","","","",""
"749","","image-keyboard-response","71","297315","0.0-2.0-0.23","","img/nature/control/S1.jpg","51","1","baseline","49","false","",""
"null","","html-keyboard-response","72","297621","0.0-2.0-1.23","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","73","297824","0.0-2.0-2.23","","","null","","","","","",""
"786.2000000029802","","image-keyboard-response","74","298611","0.0-2.0-0.24","","img/nature/control/S4.jpg","52","4","baseline","52","true","",""
