"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"44776.98999969289","consent.html","external-html","0","44887","0.0-0.0","","","","","","","","",""
"285610.46000011265","","instructions","1","330507","0.0-1.0","[{""page_index"":0,""viewing_time"":7738.365000113845},{""page_index"":1,""viewing_time"":20209.11999978125},{""page_index"":2,""viewing_time"":8890.205000061542},{""page_index"":3,""viewing_time"":40143.98999977857},{""page_index"":4,""viewing_time"":69091.44000010565},{""page_index"":5,""viewing_time"":107391.0600002855},{""page_index"":6,""viewing_time"":6757.444999646395},{""page_index"":7,""viewing_time"":25387.460000347346}]","","","","","","","",""
"1423.5599995590746","","image-keyboard-response","2","331934","0.0-2.0-0.0","","img/nature/S4.jpg","52","4","practice","52","true","",""
"null","","html-keyboard-response","3","332237","0.0-2.0-1.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","4","332440","0.0-2.0-2.0","","","null","","","","","",""
"861.8899998255074","","image-keyboard-response","5","333305","0.0-2.0-0.1","","img/nature/S3.jpg","51","3","practice","51","true","",""
"null","","html-keyboard-response","6","333609","0.0-2.0-1.1","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","7","333810","0.0-2.0-2.1","","","null","","","","","",""
"762.34499970451","","image-keyboard-response","8","334577","0.0-2.0-0.2","","img/nature/S2.jpg","50","2","practice","50","true","",""
"null","","html-keyboard-response","9","334879","0.0-2.0-1.2","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","10","335081","0.0-2.0-2.2","","","null","","","","","",""
"685.1999997161329","","image-keyboard-response","11","335768","0.0-2.0-0.3","","img/nature/S1.jpg","49","1","practice","49","true","",""
"null","","html-keyboard-response","12","336070","0.0-2.0-1.3","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","13","336271","0.0-2.0-2.3","","","null","","","","","",""
"694.9950000271201","","image-keyboard-response","14","336968","0.0-2.0-0.4","","img/nature/S2.jpg","50","2","practice","50","true","",""
"null","","html-keyboard-response","15","337270","0.0-2.0-1.4","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","16","337471","0.0-2.0-2.4","","","null","","","","","",""
"788.5900000110269","","image-keyboard-response","17","338262","0.0-2.0-0.5","","img/nature/S3.jpg","51","3","practice","51","true","",""
"null","","html-keyboard-response","18","338565","0.0-2.0-1.5","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","19","338766","0.0-2.0-2.5","","","null","","","","","",""
"723.9550002850592","","image-keyboard-response","20","339492","0.0-2.0-0.6","","img/nature/S1.jpg","49","1","practice","49","true","",""
"null","","html-keyboard-response","21","339795","0.0-2.0-1.6","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","22","339996","0.0-2.0-2.6","","","null","","","","","",""
"638.0349998362362","","image-keyboard-response","23","340635","0.0-2.0-0.7","","img/nature/S4.jpg","52","4","practice","52","true","",""
"null","","html-keyboard-response","24","340938","0.0-2.0-1.7","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","25","341139","0.0-2.0-2.7","","","null","","","","","",""
"767.7150000818074","","image-keyboard-response","26","341908","0.0-2.0-0.8","","img/nature/S1.jpg","49","1","practice","49","true","",""
"null","","html-keyboard-response","27","342211","0.0-2.0-1.8","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","28","342412","0.0-2.0-2.8","","","null","","","","","",""
"768.8649999909103","","image-keyboard-response","29","343182","0.0-2.0-0.9","","img/nature/S2.jpg","50","2","practice","50","true","",""
"null","","html-keyboard-response","30","343484","0.0-2.0-1.9","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","31","343686","0.0-2.0-2.9","","","null","","","","","",""
"670.4300004057586","","image-keyboard-response","32","344359","0.0-2.0-0.10","","img/nature/S4.jpg","52","4","practice","52","true","",""
"null","","html-keyboard-response","33","344661","0.0-2.0-1.10","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","34","344863","0.0-2.0-2.10","","","null","","","","","",""
"723.40999962762","","image-keyboard-response","35","345587","0.0-2.0-0.11","","img/nature/S3.jpg","51","3","practice","51","true","",""
"null","","html-keyboard-response","36","345889","0.0-2.0-1.11","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","37","346091","0.0-2.0-2.11","","","null","","","","","",""
"645.8799997344613","","image-keyboard-response","38","346740","0.0-2.0-0.12","","img/nature/S4.jpg","52","4","practice","52","true","",""
"null","","html-keyboard-response","39","347043","0.0-2.0-1.12","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","40","347244","0.0-2.0-2.12","","","null","","","","","",""
"649.7349999845028","","image-keyboard-response","41","347898","0.0-2.0-0.13","","img/nature/S1.jpg","49","1","practice","49","true","",""
"null","","html-keyboard-response","42","348200","0.0-2.0-1.13","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","43","348402","0.0-2.0-2.13","","","null","","","","","",""
"787.3100000433624","","image-keyboard-response","44","349191","0.0-2.0-0.14","","img/nature/S3.jpg","52","3","practice","51","false","",""
"null","","html-keyboard-response","45","349493","0.0-2.0-1.14","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","46","349694","0.0-2.0-2.14","","","null","","","","","",""
"931.0499997809529","","image-keyboard-response","47","350626","0.0-2.0-0.15","","img/nature/S2.jpg","50","2","practice","50","true","",""
"null","","html-keyboard-response","48","350929","0.0-2.0-1.15","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","49","351131","0.0-2.0-2.15","","","null","","","","","",""
"602.309999987483","","image-keyboard-response","50","351735","0.0-2.0-0.16","","img/nature/S2.jpg","50","2","practice","50","true","",""
"null","","html-keyboard-response","51","352038","0.0-2.0-1.16","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","52","352240","0.0-2.0-2.16","","","null","","","","","",""
"636.2549997866154","","image-keyboard-response","53","352877","0.0-2.0-0.17","","img/nature/S1.jpg","49","1","practice","49","true","",""
"null","","html-keyboard-response","54","353179","0.0-2.0-1.17","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","55","353381","0.0-2.0-2.17","","","null","","","","","",""
"730.5499999783933","","image-keyboard-response","56","354113","0.0-2.0-0.18","","img/nature/S4.jpg","52","4","practice","52","true","",""
"null","","html-keyboard-response","57","354415","0.0-2.0-1.18","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","58","354617","0.0-2.0-2.18","","","null","","","","","",""
"669.8549999855459","","image-keyboard-response","59","355289","0.0-2.0-0.19","","img/nature/S3.jpg","51","3","practice","51","true","",""
"null","","html-keyboard-response","60","355593","0.0-2.0-1.19","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","61","355795","0.0-2.0-2.19","","","null","","","","","",""
"60115.04499986768","","instructions","62","415911","0.0-3.0","[{""page_index"":0,""viewing_time"":60114.744999911636}]","","","","","","","",""
"1189.455000218004","","image-keyboard-response","63","417103","0.0-4.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","64","417312","0.0-5.0","","","null","","","","","",""
"733.3850003778934","","image-keyboard-response","65","418048","0.0-6.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","66","418250","0.0-7.0","","","null","","","","","",""
"731.0950001701713","","image-keyboard-response","67","418987","0.0-8.0","","img/nature/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","68","419189","0.0-9.0","","","null","","","","","",""
"731.0500000603497","","image-keyboard-response","69","419922","0.0-10.0","","img/nature/S4.jpg","52","4","Ns4,baseline","52","true","",""
"null","","html-keyboard-response","70","420131","0.0-11.0","","","null","","","","","",""
"752.0900000818074","","image-keyboard-response","71","420884","0.0-12.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","72","421087","0.0-13.0","","","null","","","","","",""
"750.4050000570714","","image-keyboard-response","73","421839","0.0-14.0","","img/nature/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","74","422041","0.0-15.0","","","null","","","","","",""
"838.9500002376735","","image-keyboard-response","75","422882","0.0-16.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","76","423084","0.0-17.0","","","null","","","","","",""
"715.3099998831749","","image-keyboard-response","77","423801","0.0-18.0","","img/nature/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","78","424003","0.0-19.0","","","null","","","","","",""
"699.0299997851253","","image-keyboard-response","79","424703","0.0-20.0","","img/nature/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","80","424905","0.0-21.0","","","null","","","","","",""
"764.9799999780953","","image-keyboard-response","81","425677","0.0-22.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","82","425878","0.0-23.0","","","null","","","","","",""
"693.0749998427927","","image-keyboard-response","83","426573","0.0-24.0","","img/nature/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","84","426775","0.0-25.0","","","null","","","","","",""
"653.1099998392165","","image-keyboard-response","85","427429","0.0-26.0","","img/nature/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","86","427631","0.0-27.0","","","null","","","","","",""
"709.7100000828505","","image-keyboard-response","87","428344","0.0-28.0","","img/nature/S4.jpg","52","4","Ns4,baseline","52","true","",""
"null","","html-keyboard-response","88","428546","0.0-29.0","","","null","","","","","",""
"690.6099999323487","","image-keyboard-response","89","429239","0.0-30.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","90","429441","0.0-31.0","","","null","","","","","",""
"580.7100003585219","","image-keyboard-response","91","430023","0.0-32.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","92","430225","0.0-33.0","","","null","","","","","",""
"609.655000269413","","image-keyboard-response","93","430837","0.0-34.0","","img/nature/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","94","431039","0.0-35.0","","","null","","","","","",""
"706.9399999454618","","image-keyboard-response","95","431748","0.0-36.0","","img/nature/S4.jpg","52","4","Ns4,baseline","52","true","",""
"null","","html-keyboard-response","96","431949","0.0-37.0","","","null","","","","","",""
"675.9950001724064","","image-keyboard-response","97","432629","0.0-38.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","98","432830","0.0-39.0","","","null","","","","","",""
"758.8649997487664","","image-keyboard-response","99","433591","0.0-40.0","","img/nature/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","100","433793","0.0-41.0","","","null","","","","","",""
"688.1699999794364","","image-keyboard-response","101","434483","0.0-42.0","","img/nature/S4.jpg","52","4","Ns4,baseline","52","true","",""
"null","","html-keyboard-response","102","434685","0.0-43.0","","","null","","","","","",""
"650.9799999184906","","image-keyboard-response","103","435338","0.0-44.0","","img/nature/S4.jpg","52","4","Ns4,baseline","52","true","",""
"null","","html-keyboard-response","104","435540","0.0-45.0","","","null","","","","","",""
"829.7500000335276","","image-keyboard-response","105","436372","0.0-46.0","","img/nature/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","106","436573","0.0-47.0","","","null","","","","","",""
"669.7299997322261","","image-keyboard-response","107","437245","0.0-48.0","","img/nature/S4.jpg","52","4","Ns4,baseline","52","true","",""
"null","","html-keyboard-response","108","437447","0.0-49.0","","","null","","","","","",""
"605.05500016734","","image-keyboard-response","109","438054","0.0-50.0","","img/nature/S4.jpg","52","4","Ns4,baseline","52","true","",""
"null","","html-keyboard-response","110","438256","0.0-51.0","","","null","","","","","",""
"759.460000321269","","image-keyboard-response","111","439017","0.0-52.0","","img/nature/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","112","439219","0.0-53.0","","","null","","","","","",""
"860.5050002224743","","image-keyboard-response","113","440081","0.0-54.0","","img/nature/S3.jpg","51","3","Ns4,baseline","51","true","",""
"null","","html-keyboard-response","114","440285","0.0-55.0","","","null","","","","","",""
