"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"121006","consent.html","external-html","0","121161","0.0-0.0","","","","","","","","",""
"229326","","instructions","1","350501","0.0-1.0","[{""page_index"":0,""viewing_time"":17739},{""page_index"":1,""viewing_time"":17489},{""page_index"":2,""viewing_time"":21820},{""page_index"":3,""viewing_time"":18422},{""page_index"":4,""viewing_time"":59610},{""page_index"":5,""viewing_time"":27495},{""page_index"":6,""viewing_time"":39722},{""page_index"":7,""viewing_time"":27028}]","","","","","","","",""
"909","","image-keyboard-response","2","351413","0.0-2.0-0.0","","img/nature/control/S2.jpg","49","2","Ns4,baseline","50","false","",""
"null","","html-keyboard-response","3","351719","0.0-2.0-1.0","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","351920","0.0-2.0-2.0","","","null","","","","","",""
"45","","image-keyboard-response","5","351967","0.0-2.0-0.1","","img/nature/control/S4.jpg","49","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","6","352270","0.0-2.0-1.1","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","352472","0.0-2.0-2.1","","","null","","","","","",""
"82","","image-keyboard-response","8","352555","0.0-2.0-0.2","","img/nature/control/S3.jpg","50","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","9","352858","0.0-2.0-1.2","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","10","353061","0.0-2.0-2.2","","","null","","","","","",""
"826","","image-keyboard-response","11","353889","0.0-2.0-0.3","","img/nature/control/S1.jpg","52","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","12","354190","0.0-2.0-1.3","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","13","354390","0.0-2.0-2.3","","","null","","","","","",""
"776","","image-keyboard-response","14","355168","0.0-2.0-0.4","","img/nature/control/S1.jpg","52","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","15","355469","0.0-2.0-1.4","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","16","355670","0.0-2.0-2.4","","","null","","","","","",""
"781","","image-keyboard-response","17","356453","0.0-2.0-0.5","","img/nature/control/S2.jpg","49","2","Ns4,baseline","50","false","",""
"null","","html-keyboard-response","18","356755","0.0-2.0-1.5","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","19","356956","0.0-2.0-2.5","","","null","","","","","",""
"780","","image-keyboard-response","20","357737","0.0-2.0-0.6","","img/nature/control/S3.jpg","49","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","21","358038","0.0-2.0-1.6","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","358239","0.0-2.0-2.6","","","null","","","","","",""
"1424","","image-keyboard-response","23","359665","0.0-2.0-0.7","","img/nature/control/S4.jpg","50","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","24","359966","0.0-2.0-1.7","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","25","360166","0.0-2.0-2.7","","","null","","","","","",""
"1960","","image-keyboard-response","26","362128","0.0-2.0-0.8","","img/nature/control/S4.jpg","50","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","27","362445","0.0-2.0-1.8","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","28","362645","0.0-2.0-2.8","","","null","","","","","",""
"1956","","image-keyboard-response","29","364603","0.0-2.0-0.9","","img/nature/control/S3.jpg","49","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","30","364904","0.0-2.0-1.9","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","31","365104","0.0-2.0-2.9","","","null","","","","","",""
"708","","image-keyboard-response","32","365815","0.0-2.0-0.10","","img/nature/control/S2.jpg","51","2","Ns4,baseline","50","false","",""
"null","","html-keyboard-response","33","366116","0.0-2.0-1.10","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","34","366320","0.0-2.0-2.10","","","null","","","","","",""
"543","","image-keyboard-response","35","366863","0.0-2.0-0.11","","img/nature/control/S1.jpg","52","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","36","367165","0.0-2.0-1.11","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","37","367365","0.0-2.0-2.11","","","null","","","","","",""
"1223","","image-keyboard-response","38","368589","0.0-2.0-0.12","","img/nature/control/S4.jpg","49","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","39","368890","0.0-2.0-1.12","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","40","369091","0.0-2.0-2.12","","","null","","","","","",""
"1177","","image-keyboard-response","41","370269","0.0-2.0-0.13","","img/nature/control/S1.jpg","51","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","42","370571","0.0-2.0-1.13","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","43","370772","0.0-2.0-2.13","","","null","","","","","",""
"824","","image-keyboard-response","44","371597","0.0-2.0-0.14","","img/nature/control/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","45","371899","0.0-2.0-1.14","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","46","372108","0.0-2.0-2.14","","","null","","","","","",""
