"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"435022","consent.html","external-html","0","435090","0.0-0.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","","","","","","","","","","",""
"198844","","instructions","1","633932","0.0-1.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","[{""page_index"":0,""viewing_time"":7580},{""page_index"":1,""viewing_time"":24395},{""page_index"":2,""viewing_time"":23375},{""page_index"":3,""viewing_time"":77473},{""page_index"":4,""viewing_time"":19953},{""page_index"":5,""viewing_time"":17366},{""page_index"":6,""viewing_time"":10410},{""page_index"":5,""viewing_time"":1409},{""page_index"":4,""viewing_time"":2096},{""page_index"":3,""viewing_time"":4347},{""page_index"":4,""viewing_time"":1433},{""page_index"":5,""viewing_time"":1011},{""page_index"":6,""viewing_time"":7996}]","","","","","","","","","","","",""
"23033","","instructions","2","656967","0.0-2.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","[{""page_index"":0,""viewing_time"":23033}]","","","","","","","","","","","",""
"15016","","instructions","3","671985","0.0-3.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","[{""page_index"":0,""viewing_time"":15016}]","","","","","","","","","","","",""
"null","","image-keyboard-response","4","674494","0.0-4.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set1/S1.jpg","null","1","random","83","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","false","","",""
"null","","html-keyboard-response","5","674849","0.0-5.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","6","675052","0.0-6.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
"null","","image-keyboard-response","7","677556","0.0-7.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set1/S4.jpg","null","4","random","74","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","false","","",""
"null","","html-keyboard-response","8","677908","0.0-8.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","9","678114","0.0-9.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
"null","","image-keyboard-response","10","680618","0.0-10.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set1/S1.jpg","null","1","random","83","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","false","","",""
"null","","html-keyboard-response","11","680972","0.0-11.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","12","681179","0.0-12.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
"null","","image-keyboard-response","13","683684","0.0-13.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set1/S3.jpg","null","3","random","72","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","false","","",""
"null","","html-keyboard-response","14","684041","0.0-14.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","15","684246","0.0-15.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
"null","","image-keyboard-response","16","686748","0.0-16.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set1/S2.jpg","null","2","random","68","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","false","","",""
