"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"3518393.5","consent.html","external-html","0","3519227","0.0-0.0","","","","","","","","","","","","",""
"58149.199999999255","","instructions","1","3577575","0.0-1.0","[{""page_index"":0,""viewing_time"":3472.39999999851},{""page_index"":1,""viewing_time"":3227.400000002235},{""page_index"":2,""viewing_time"":1779.5},{""page_index"":3,""viewing_time"":8236.39999999851},{""page_index"":4,""viewing_time"":15927.400000002235},{""page_index"":5,""viewing_time"":9120.5},{""page_index"":6,""viewing_time"":16350.699999999255}]","","","","","","","","","","","",""
"21728.400000002235","","instructions","2","3599335","0.0-2.0","[{""page_index"":0,""viewing_time"":21727.60000000149}]","","","","","","","","","","","",""
"6080.39999999851","","instructions","3","3605418","0.0-3.0","[{""page_index"":0,""viewing_time"":6079.5}]","","","","","","","","","","","",""
"1252.199999999255","","image-keyboard-response","4","3606676","0.0-4.0","","img/set1/S4.jpg","68","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","5","3607100","0.0-5.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","6","3607304","0.0-6.0","","","null","","","","","","","","","",""
"404.3999999985099","","image-keyboard-response","7","3607740","0.0-7.0","","img/set1/S4.jpg","72","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","8","3608094","0.0-8.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","9","3608298","0.0-9.0","","","null","","","","","","","","","",""
"221.30000000074506","","image-keyboard-response","10","3608521","0.0-10.0","","img/set1/S2.jpg","72","2","structured_normal","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","11","3608876","0.0-11.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","12","3609079","0.0-12.0","","","null","","","","","","","","","",""
"226.5","","image-keyboard-response","13","3609307","0.0-13.0","","img/set1/S3.jpg","74","3","structured_normal","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","14","3609660","0.0-14.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","15","3609862","0.0-15.0","","","null","","","","","","","","","",""
"245.19999999925494","","image-keyboard-response","16","3610109","0.0-16.0","","img/set1/S4.jpg","72","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","17","3610463","0.0-17.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","18","3610665","0.0-18.0","","","null","","","","","","","","","",""
"12.199999999254942","","image-keyboard-response","19","3610679","0.0-19.0","","img/set1/S4.jpg","74","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","20","3611033","0.0-20.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","21","3611235","0.0-21.0","","","null","","","","","","","","","",""
"68","","image-keyboard-response","22","3611305","0.0-22.0","","img/set1/S2.jpg","72","2","structured_normal","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","23","3611658","0.0-23.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","24","3611860","0.0-24.0","","","null","","","","","","","","","",""
"14.900000002235174","","image-keyboard-response","25","3611877","0.0-25.0","","img/set1/S3.jpg","74","3","structured_normal","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","26","3612230","0.0-26.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","27","3612432","0.0-27.0","","","null","","","","","","","","","",""
"259.4000000022352","","image-keyboard-response","28","3612694","0.0-28.0","","img/set1/S2.jpg","83","2","structured_normal","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","29","3613049","0.0-29.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","30","3613251","0.0-30.0","","","null","","","","","","","","","",""
"62.600000001490116","","image-keyboard-response","31","3613317","0.0-31.0","","img/set1/S3.jpg","68","3","structured_normal","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","32","3613671","0.0-32.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","33","3613874","0.0-33.0","","","null","","","","","","","","","",""
"122.39999999850988","","image-keyboard-response","34","3613998","0.0-34.0","","img/set1/S4.jpg","83","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","35","3614352","0.0-35.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","36","3614554","0.0-36.0","","","null","","","","","","","","","",""
"337.8999999985099","","image-keyboard-response","37","3614894","0.0-37.0","","img/set1/S1.jpg","72","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","38","3615248","0.0-38.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","39","3615450","0.0-39.0","","","null","","","","","","","","","",""
"194.20000000298023","","image-keyboard-response","40","3615646","0.0-40.0","","img/set1/S4.jpg","68","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","41","3616000","0.0-41.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
