"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"30429.69999999553","consent.html","external-html","0","30566","0.0-0.0","","","","","","","","","","","",""
"71651.79999999702","","instructions","1","102219","0.0-1.0","[{""page_index"":0,""viewing_time"":5473.79999999702},{""page_index"":1,""viewing_time"":5049},{""page_index"":2,""viewing_time"":7811.10000000149},{""page_index"":3,""viewing_time"":18189},{""page_index"":4,""viewing_time"":7461},{""page_index"":5,""viewing_time"":20295.70000000298},{""page_index"":6,""viewing_time"":7371.69999999553}]","","","","","","","","","","",""
"11796","","instructions","2","114015","0.0-2.0","[{""page_index"":0,""viewing_time"":11795.89999999851}]","","","","","","","","","","",""
"4316.89999999851","","instructions","3","118333","0.0-3.0","[{""page_index"":0,""viewing_time"":4316.70000000298}]","","","","","","","","","","",""
"1652","","image-keyboard-response","4","119986","0.0-4.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","5","120352","0.0-5.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","6","120558","0.0-6.0","","","null","","","","","","","","",""
"763.5","","image-keyboard-response","7","121322","0.0-7.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","8","121678","0.0-8.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","9","121883","0.0-9.0","","","null","","","","","","","","",""
"419.1000000014901","","image-keyboard-response","10","122302","0.0-10.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","11","122664","0.0-11.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","12","122881","0.0-12.0","","","null","","","","","","","","",""
"903.5999999940395","","image-keyboard-response","13","123785","0.0-13.0","","img/set1/S3.jpg","72","3","random","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","14","124147","0.0-14.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","15","124361","0.0-15.0","","","null","","","","","","","","",""
"863.5999999940395","","image-keyboard-response","16","125225","0.0-16.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","17","125582","0.0-17.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","18","125789","0.0-18.0","","","null","","","","","","","","",""
"1060.7000000029802","","image-keyboard-response","19","126850","0.0-19.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","20","127205","0.0-20.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","21","127409","0.0-21.0","","","null","","","","","","","","",""
"897.6999999955297","","image-keyboard-response","22","128307","0.0-22.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","23","128659","0.0-23.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","24","128861","0.0-24.0","","","null","","","","","","","","",""
"534","","image-keyboard-response","25","129395","0.0-25.0","","img/set1/S3.jpg","83","3","random","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","26","129750","0.0-26.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","27","129953","0.0-27.0","","","null","","","","","","","","",""
"920.1000000014901","","image-keyboard-response","28","130874","0.0-28.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","29","131232","0.0-29.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","30","131434","0.0-30.0","","","null","","","","","","","","",""
"468","","image-keyboard-response","31","131903","0.0-31.0","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","32","132261","0.0-32.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","33","132466","0.0-33.0","","","null","","","","","","","","",""
"958.6000000014901","","image-keyboard-response","34","133425","0.0-34.0","","img/set1/S3.jpg","68","3","random","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","35","133780","0.0-35.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","36","133996","0.0-36.0","","","null","","","","","","","","",""
"703.6000000014901","","image-keyboard-response","37","134701","0.0-37.0","","img/set1/S4.jpg","72","4","random","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","38","135054","0.0-38.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","39","135259","0.0-39.0","","","null","","","","","","","","",""
"718.7000000029802","","image-keyboard-response","40","135979","0.0-40.0","","img/set1/S2.jpg","72","2","random","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","41","136334","0.0-41.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","42","136540","0.0-42.0","","","null","","","","","","","","",""
"1014.9000000059605","","image-keyboard-response","43","137555","0.0-43.0","","img/set1/S4.jpg","68","4","random","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","44","137910","0.0-44.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","45","138113","0.0-45.0","","","null","","","","","","","","",""
