"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","bonus"
"10364.299999952316","consent.html","external-html","0","10455","0.0-0.0","","","","","","","","","","",""
"154486.30000001192","","instructions","1","164942","0.0-1.0","[{""page_index"":0,""viewing_time"":6094.599999964237},{""page_index"":1,""viewing_time"":19474.100000023842},{""page_index"":2,""viewing_time"":69572.69999998808},{""page_index"":3,""viewing_time"":22454.400000035763},{""page_index"":4,""viewing_time"":9067.799999952316},{""page_index"":5,""viewing_time"":16841.80000001192},{""page_index"":6,""viewing_time"":10980.199999988079}]","","","","","","","","","",""
"18966.900000035763","","instructions","2","183909","0.0-2.0","[{""page_index"":0,""viewing_time"":18966.5}]","","","","","","","","","",""
"8369.699999988079","","instructions","3","192279","0.0-3.0","[{""page_index"":0,""viewing_time"":8369.199999988079}]","","","","","","","","","",""
"1089.3999999761581","","image-keyboard-response","4","193370","0.0-4.0","","img/set1/S3.jpg","83","3","random","72","random,structured_normal,structured_incentive,structured_load","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","5","193728","0.0-5.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","6","193934","0.0-6.0","","","null","","","","","","","",""
"1526.699999988079","","image-keyboard-response","7","195461","0.0-7.0","","img/set1/S1.jpg","68","1","random","83","random,structured_normal,structured_incentive,structured_load","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","8","195818","0.0-8.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","9","196019","0.0-9.0","","","null","","","","","","","",""
"724.3000000119209","","image-keyboard-response","10","196745","0.0-10.0","","img/set1/S2.jpg","72","2","random","68","random,structured_normal,structured_incentive,structured_load","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","11","197101","0.0-11.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","12","197303","0.0-12.0","","","null","","","","","","","",""
"542.6000000238419","","image-keyboard-response","13","197846","0.0-13.0","","img/set1/S4.jpg","74","4","random","74","random,structured_normal,structured_incentive,structured_load","2,3,2,1,3,4","true","",""
"null","","html-keyboard-response","14","198203","0.0-14.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
