"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","bonus"
"49914","consent.html","external-html","0","50002","0.0-0.0","","","","","","","","","","",""
"143964","","instructions","1","193966","0.0-1.0","[{""page_index"":0,""viewing_time"":4016},{""page_index"":1,""viewing_time"":9417},{""page_index"":2,""viewing_time"":13124},{""page_index"":3,""viewing_time"":56683},{""page_index"":4,""viewing_time"":6094},{""page_index"":5,""viewing_time"":19149},{""page_index"":4,""viewing_time"":947},{""page_index"":3,""viewing_time"":3826},{""page_index"":4,""viewing_time"":1792},{""page_index"":5,""viewing_time"":10268},{""page_index"":6,""viewing_time"":8244},{""page_index"":5,""viewing_time"":819},{""page_index"":4,""viewing_time"":862},{""page_index"":3,""viewing_time"":825},{""page_index"":2,""viewing_time"":4225},{""page_index"":3,""viewing_time"":757},{""page_index"":4,""viewing_time"":591},{""page_index"":5,""viewing_time"":614},{""page_index"":6,""viewing_time"":1710}]","","","","","","","","","",""
"35561","","instructions","2","229527","0.0-2.0","[{""page_index"":0,""viewing_time"":35560}]","","","","","","","","","",""
"19840","","instructions","3","249369","0.0-3.0","[{""page_index"":0,""viewing_time"":19840}]","","","","","","","","","",""
"919","","image-keyboard-response","4","250290","0.0-4.0","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","5","250643","0.0-5.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","6","250843","0.0-6.0","","","null","","","","","","","",""
"1239","","image-keyboard-response","7","252085","0.0-7.0","","img/set1/S2.jpg","68","2","random","68","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","true","",""
"null","","html-keyboard-response","8","252436","0.0-8.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","9","252636","0.0-9.0","","","null","","","","","","","",""
"1764","","image-keyboard-response","10","254401","0.0-10.0","","img/set1/S4.jpg","68","4","random","74","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","11","254752","0.0-11.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","12","254952","0.0-12.0","","","null","","","","","","","",""
"1864","","image-keyboard-response","13","256817","0.0-13.0","","img/set1/S3.jpg","83","3","random","72","random,structured_normal,structured_incentive,structured_load","2,1,3,4,2,3","false","",""
"null","","html-keyboard-response","14","257169","0.0-14.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","15","257368","0.0-15.0","","","null","","","","","","","",""
