"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","block_order","chunk_order","stimulus","key_press","state","test_part","correct_response","correct","responses","question_order","bonus"
"[{""page_index"":0,""viewing_time"":1103.2000000001863},{""page_index"":1,""viewing_time"":627.4000000003725},{""page_index"":2,""viewing_time"":470.19999999925494},{""page_index"":3,""viewing_time"":1813.800000000745},{""page_index"":4,""viewing_time"":1482},{""page_index"":5,""viewing_time"":913.3999999994412},{""page_index"":6,""viewing_time"":804.7000000001863}]","7215.799999999814","instructions","0","7219","0.0-0.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1003.8000000007451}]","1004.1000000005588","instructions","1","8225","0.0-1.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":912.0999999996275},{""page_index"":1,""viewing_time"":976}]","1888.3999999994412","instructions","2","10116","0.0-2.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","","","","","","","",""
"","null","image-keyboard-response","3","12623","0.0-3.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","4","12982","0.0-4.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","5","13187","0.0-5.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","6","15694","0.0-6.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","7","16052","0.0-7.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","8","16259","0.0-8.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","9","18766","0.0-9.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","10","19123","0.0-10.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","11","19329","0.0-11.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","12","21834","0.0-12.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","13","22187","0.0-13.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","14","22393","0.0-14.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","15","24900","0.0-15.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","16","25257","0.0-16.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","17","25458","0.0-17.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","18","27965","0.0-18.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","19","28321","0.0-19.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","20","28527","0.0-20.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","21","31032","0.0-21.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","22","31384","0.0-22.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","23","31587","0.0-23.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","24","34094","0.0-24.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","25","34451","0.0-25.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","26","34654","0.0-26.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","27","37160","0.0-27.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","28","37515","0.0-28.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","29","37721","0.0-29.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","30","40228","0.0-30.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","31","40585","0.0-31.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","32","40787","0.0-32.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","33","43289","0.0-33.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","34","43646","0.0-34.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","35","43850","0.0-35.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","36","46352","0.0-36.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","37","46708","0.0-37.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","38","46914","0.0-38.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","39","49421","0.0-39.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","40","49775","0.0-40.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","41","49977","0.0-41.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","42","52479","0.0-42.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","43","52834","0.0-43.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","44","53039","0.0-44.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","45","55544","0.0-45.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","46","55897","0.0-46.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","47","56098","0.0-47.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","48","58601","0.0-48.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","49","58954","0.0-49.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","50","59158","0.0-50.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","51","61662","0.0-51.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","52","62018","0.0-52.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","53","62220","0.0-53.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","54","64726","0.0-54.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","55","65083","0.0-55.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","56","65289","0.0-56.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","57","67796","0.0-57.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","58","68151","0.0-58.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","59","68357","0.0-59.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","60","70861","0.0-60.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","61","71218","0.0-61.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","62","71424","0.0-62.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","63","73930","0.0-63.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","64","74286","0.0-64.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","65","74489","0.0-65.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","66","76996","0.0-66.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","67","77348","0.0-67.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","68","77549","0.0-68.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","69","80056","0.0-69.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","70","80412","0.0-70.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","71","80615","0.0-71.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","72","83122","0.0-72.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","73","83474","0.0-73.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","74","83680","0.0-74.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","75","86186","0.0-75.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","76","86542","0.0-76.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","77","86748","0.0-77.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","78","89250","0.0-78.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","79","89607","0.0-79.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","80","89810","0.0-80.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","81","92313","0.0-81.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","82","92666","0.0-82.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","83","92872","0.0-83.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","84","95377","0.0-84.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","85","95730","0.0-85.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","86","95936","0.0-86.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","87","98442","0.0-87.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","88","98799","0.0-88.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","89","99002","0.0-89.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","90","101505","0.0-90.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","91","101857","0.0-91.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","92","102063","0.0-92.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","93","104570","0.0-93.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","94","104926","0.0-94.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","95","105128","0.0-95.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","96","107634","0.0-96.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","97","107988","0.0-97.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","98","108194","0.0-98.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","99","110700","0.0-99.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","100","111053","0.0-100.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","101","111258","0.0-101.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","102","113765","0.0-102.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S3.jpg","null","3","structured_load","72","false","","",""
"","null","html-keyboard-response","103","114119","0.0-103.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","104","114320","0.0-104.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","105","116826","0.0-105.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S4.jpg","null","4","structured_load","74","false","","",""
"","null","html-keyboard-response","106","117183","0.0-106.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","107","117389","0.0-107.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","108","119896","0.0-108.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S2.jpg","null","2","structured_load","68","false","","",""
"","null","html-keyboard-response","109","120253","0.0-109.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
"","null","html-keyboard-response","110","120459","0.0-110.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","","null","","","","","","",""
"","null","image-keyboard-response","111","122965","0.0-111.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","img/set1/S1.jpg","null","1","structured_load","83","false","","",""
"","null","html-keyboard-response","112","123322","0.0-112.0","structured_load,structured_normal,random,structured_incentive","2,1,2,3,3,4","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","",""
