"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","bonus","responses"
"3939","consent.html","external-html","0","3986","0.0-0.0","","","","","","","","","","","","","","",""
"11242","","instructions","1","15232","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1511},{""page_index"":1,""viewing_time"":1658},{""page_index"":2,""viewing_time"":1193},{""page_index"":3,""viewing_time"":1267},{""page_index"":4,""viewing_time"":1692},{""page_index"":5,""viewing_time"":1048},{""page_index"":6,""viewing_time"":2872}]","","","","","","","","","","",""
"2288","","instructions","2","17522","0.0-2.0","","","","[{""page_index"":0,""viewing_time"":2288}]","","","","","","","","","","",""
"1005","","instructions","3","18529","0.0-3.0","","","","[{""page_index"":0,""viewing_time"":1005}]","","","","","","","","","","",""
"null","","image-keyboard-response","4","21033","0.0-4.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","5","21387","0.0-5.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","6","21588","0.0-6.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","7","24090","0.0-7.0","","","","","img/set1/S1.jpg","null","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","8","24443","0.0-8.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","9","24645","0.0-9.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","10","27147","0.0-10.0","","","","","img/set1/S1.jpg","null","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","11","27500","0.0-11.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","12","27701","0.0-12.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","13","30204","0.0-13.0","","","","","img/set1/S3.jpg","null","3","random","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","14","30556","0.0-14.0","","","","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","15","30758","0.0-15.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","16","33260","0.0-16.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","17","33613","0.0-17.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","18","33815","0.0-18.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","19","36318","0.0-19.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","20","36671","0.0-20.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","21","36872","0.0-21.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","22","39375","0.0-22.0","","","","","img/set1/S3.jpg","null","3","random","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","23","39728","0.0-23.0","","","","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","24","39930","0.0-24.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","25","42432","0.0-25.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","26","42785","0.0-26.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","27","42986","0.0-27.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","28","45488","0.0-28.0","","","","","img/set1/S1.jpg","null","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","29","45840","0.0-29.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","30","46043","0.0-30.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","31","48545","0.0-31.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","32","48897","0.0-32.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","33","49099","0.0-33.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","34","51602","0.0-34.0","","","","","img/set1/S1.jpg","null","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","35","51955","0.0-35.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","36","52157","0.0-36.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","37","54660","0.0-37.0","","","","","img/set1/S1.jpg","null","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","38","55012","0.0-38.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","39","55213","0.0-39.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","40","57715","0.0-40.0","","","","","img/set1/S1.jpg","null","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","41","58073","0.0-41.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","42","58275","0.0-42.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","43","60778","0.0-43.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","44","61131","0.0-44.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","45","61333","0.0-45.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","46","63836","0.0-46.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","47","64192","0.0-47.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","48","64393","0.0-48.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","49","66896","0.0-49.0","","","","","img/set1/S3.jpg","null","3","random","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","50","67248","0.0-50.0","","","","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","51","67451","0.0-51.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","52","69953","0.0-52.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","53","70306","0.0-53.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","54","70508","0.0-54.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","55","73010","0.0-55.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","56","73362","0.0-56.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","57","73564","0.0-57.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","58","76067","0.0-58.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","59","76419","0.0-59.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","60","76620","0.0-60.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","61","79123","0.0-61.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","62","79477","0.0-62.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","63","79680","0.0-63.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","64","82182","0.0-64.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","65","82535","0.0-65.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","66","82737","0.0-66.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","67","85240","0.0-67.0","","","","","img/set1/S4.jpg","null","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","68","85592","0.0-68.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","69","85793","0.0-69.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","70","88295","0.0-70.0","","","","","img/set1/S1.jpg","null","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
