"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"89954.20000004768","consent.html","external-html","0","90049","0.0-0.0","","","","","","","","",""
"94197.79999995232","","instructions","1","184253","0.0-1.0","[{""page_index"":0,""viewing_time"":9418.700000047684},{""page_index"":1,""viewing_time"":7048.400000095367},{""page_index"":2,""viewing_time"":8777.799999952316},{""page_index"":3,""viewing_time"":13263.700000047684},{""page_index"":4,""viewing_time"":12684.199999809265},{""page_index"":5,""viewing_time"":10064.200000047684},{""page_index"":6,""viewing_time"":26342.10000014305},{""page_index"":7,""viewing_time"":6598}]","","","","","","","",""
"1923.4000000953674","","image-keyboard-response","2","186179","0.0-2.0-0.0","","img/animals/control/S6.jpg","49","6","Ns6,baseline","54","false","",""
"null","","html-keyboard-response","3","186481","0.0-2.0-1.0","","<img src=""img/animals/control/S6.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","186687","0.0-2.0-2.0","","","null","","","","","",""
"2232.399999856949","","image-keyboard-response","5","188921","0.0-2.0-0.1","","img/animals/control/S3.jpg","49","3","Ns6,baseline","51","false","",""
"null","","html-keyboard-response","6","189223","0.0-2.0-1.1","","<img src=""img/animals/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","189426","0.0-2.0-2.1","","","null","","","","","",""
"2117.399999856949","","image-keyboard-response","8","191545","0.0-2.0-0.2","","img/animals/control/S5.jpg","49","5","Ns6,baseline","53","false","",""
"null","","html-keyboard-response","9","191847","0.0-2.0-1.2","","<img src=""img/animals/control/S5.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","10","192050","0.0-2.0-2.2","","","null","","","","","",""
"null","","image-keyboard-response","11","195053","0.0-2.0-0.3","","img/animals/control/S1.jpg","null","1","Ns6,baseline","49","false","",""
"null","","html-keyboard-response","12","195354","0.0-2.0-1.3","","<img src=""img/animals/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","13","195555","0.0-2.0-2.3","","","null","","","","","",""
"2362.899999856949","","image-keyboard-response","14","197920","0.0-2.0-0.4","","img/animals/control/S2.jpg","49","2","Ns6,baseline","50","false","",""
"null","","html-keyboard-response","15","198222","0.0-2.0-1.4","","<img src=""img/animals/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","16","198424","0.0-2.0-2.4","","","null","","","","","",""
"773","","image-keyboard-response","17","199199","0.0-2.0-0.5","","img/animals/control/S4.jpg","49","4","Ns6,baseline","52","false","",""
"null","","html-keyboard-response","18","199501","0.0-2.0-1.5","","<img src=""img/animals/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","19","199702","0.0-2.0-2.5","","","null","","","","","",""
"1252.5999999046326","","image-keyboard-response","20","200956","0.0-2.0-0.6","","img/animals/control/S4.jpg","49","4","Ns6,baseline","52","false","",""
"null","","html-keyboard-response","21","201259","0.0-2.0-1.6","","<img src=""img/animals/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","201460","0.0-2.0-2.6","","","null","","","","","",""
"1038.9000000953674","","image-keyboard-response","23","202500","0.0-2.0-0.7","","img/animals/control/S1.jpg","50","1","Ns6,baseline","49","false","",""
