"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"14428.800000011921","consent.html","external-html","0","14483","0.0-0.0","","","","","","","","",""
"114850.5","","instructions","1","129336","0.0-1.0","[{""page_index"":0,""viewing_time"":9938.600000023842},{""page_index"":1,""viewing_time"":4346.399999976158},{""page_index"":2,""viewing_time"":8105},{""page_index"":3,""viewing_time"":68163.10000002384},{""page_index"":4,""viewing_time"":7094.699999988079},{""page_index"":5,""viewing_time"":5754.600000023842},{""page_index"":6,""viewing_time"":6484.800000011921},{""page_index"":7,""viewing_time"":4962.599999964237}]","","","","","","","",""
"1228.5","","image-keyboard-response","2","130566","0.0-2.0-0.0","","img/animals/control/S6.jpg","50","6","Ns6,baseline","54","false","",""
"null","","html-keyboard-response","3","130872","0.0-2.0-1.0","","<img src=""img/animals/control/S6.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","131077","0.0-2.0-2.0","","","null","","","","","",""
"1423.699999988079","","image-keyboard-response","5","132502","0.0-2.0-0.1","","img/animals/control/S1.jpg","51","1","Ns6,baseline","49","false","",""
"null","","html-keyboard-response","6","132813","0.0-2.0-1.1","","<img src=""img/animals/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","133015","0.0-2.0-2.1","","","null","","","","","",""
"965.8000000119209","","image-keyboard-response","8","133982","0.0-2.0-0.2","","img/animals/control/S2.jpg","51","2","Ns6,baseline","50","false","",""
"null","","html-keyboard-response","9","134297","0.0-2.0-1.2","","<img src=""img/animals/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","10","134501","0.0-2.0-2.2","","","null","","","","","",""
"608","","image-keyboard-response","11","135109","0.0-2.0-0.3","","img/animals/control/S5.jpg","51","5","Ns6,baseline","53","false","",""
"null","","html-keyboard-response","12","135420","0.0-2.0-1.3","","<img src=""img/animals/control/S5.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","13","135624","0.0-2.0-2.3","","","null","","","","","",""
"653.3000000119209","","image-keyboard-response","14","136278","0.0-2.0-0.4","","img/animals/control/S3.jpg","51","3","Ns6,baseline","51","true","",""
"null","","html-keyboard-response","15","136591","0.0-2.0-1.4","","<img src=""img/animals/control/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","16","136794","0.0-2.0-2.4","","","null","","","","","",""
"674.5999999642372","","image-keyboard-response","17","137470","0.0-2.0-0.5","","img/animals/control/S4.jpg","52","4","Ns6,baseline","52","true","",""
"null","","html-keyboard-response","18","137776","0.0-2.0-1.5","","<img src=""img/animals/control/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","19","137978","0.0-2.0-2.5","","","null","","","","","",""
"730.6000000238419","","image-keyboard-response","20","138710","0.0-2.0-0.6","","img/animals/control/S1.jpg","53","1","Ns6,baseline","49","false","",""
"null","","html-keyboard-response","21","139024","0.0-2.0-1.6","","<img src=""img/animals/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","139227","0.0-2.0-2.6","","","null","","","","","",""
"858.1999999880791","","image-keyboard-response","23","140086","0.0-2.0-0.7","","img/animals/control/S2.jpg","51","2","Ns6,baseline","50","false","",""
"null","","html-keyboard-response","24","140393","0.0-2.0-1.7","","<img src=""img/animals/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","25","140596","0.0-2.0-2.7","","","null","","","","","",""
"777.8000000119209","","image-keyboard-response","26","141374","0.0-2.0-0.8","","img/animals/control/S6.jpg","51","6","Ns6,baseline","54","false","",""
"null","","html-keyboard-response","27","141686","0.0-2.0-1.8","","<img src=""img/animals/control/S6.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","28","141901","0.0-2.0-2.8","","","null","","","","","",""
"560.8000000119209","","image-keyboard-response","29","142462","0.0-2.0-0.9","","img/animals/control/S5.jpg","51","5","Ns6,baseline","53","false","",""
"null","","html-keyboard-response","30","142772","0.0-2.0-1.9","","<img src=""img/animals/control/S5.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","31","142974","0.0-2.0-2.9","","","null","","","","","",""
"567.3000000119209","","image-keyboard-response","32","143543","0.0-2.0-0.10","","img/animals/control/S3.jpg","51","3","Ns6,baseline","51","true","",""
"null","","html-keyboard-response","33","143849","0.0-2.0-1.10","","<img src=""img/animals/control/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","34","144053","0.0-2.0-2.10","","","null","","","","","",""
"953.3000000119209","","image-keyboard-response","35","145007","0.0-2.0-0.11","","img/animals/control/S4.jpg","52","4","Ns6,baseline","52","true","",""
"null","","html-keyboard-response","36","145317","0.0-2.0-1.11","","<img src=""img/animals/control/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","37","145521","0.0-2.0-2.11","","","null","","","","","",""
