"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"4213.899999976158","consent.html","external-html","0","4273","0.0-0.0","","","","","","","","",""
"149161.39999997616","","instructions","1","153444","0.0-1.0","[{""page_index"":0,""viewing_time"":29219.799999952316},{""page_index"":1,""viewing_time"":15175.5},{""page_index"":2,""viewing_time"":10551.600000023842},{""page_index"":3,""viewing_time"":20351.399999976158},{""page_index"":4,""viewing_time"":17135.600000023842},{""page_index"":5,""viewing_time"":9311.799999952316},{""page_index"":6,""viewing_time"":35942.90000009537},{""page_index"":7,""viewing_time"":11471.599999904633}]","","","","","","","",""
"null","","image-keyboard-response","2","155947","0.0-2.0","","img/animals/S3.jpg","null","3","Ns6,train","51","false","",""
"null","","html-keyboard-response","3","156300","0.0-3.0","","<img src=""img/animals/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","156502","0.0-4.0","","","null","","","","","",""
"null","","image-keyboard-response","5","159004","0.0-5.0","","img/animals/S2.jpg","null","2","Ns6,train","50","false","",""
"null","","html-keyboard-response","6","159356","0.0-6.0","","<img src=""img/animals/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","159559","0.0-7.0","","","null","","","","","",""
"null","","image-keyboard-response","8","162061","0.0-8.0","","img/animals/S5.jpg","null","5","Ns6,train","53","false","",""
"null","","html-keyboard-response","9","162413","0.0-9.0","","<img src=""img/animals/S5.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","10","162614","0.0-10.0","","","null","","","","","",""
"null","","image-keyboard-response","11","165116","0.0-11.0","","img/animals/S4.jpg","null","4","Ns6,train","52","false","",""
"null","","html-keyboard-response","12","165468","0.0-12.0","","<img src=""img/animals/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","13","165669","0.0-13.0","","","null","","","","","",""
"null","","image-keyboard-response","14","168171","0.0-14.0","","img/animals/S3.jpg","null","3","Ns6,train","51","false","",""
"null","","html-keyboard-response","15","168523","0.0-15.0","","<img src=""img/animals/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","16","168724","0.0-16.0","","","null","","","","","",""
"null","","image-keyboard-response","17","171226","0.0-17.0","","img/animals/S5.jpg","null","5","Ns6,train","53","false","",""
"null","","html-keyboard-response","18","171578","0.0-18.0","","<img src=""img/animals/S5.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","19","171779","0.0-19.0","","","null","","","","","",""
"null","","image-keyboard-response","20","174281","0.0-20.0","","img/animals/S4.jpg","null","4","Ns6,train","52","false","",""
"null","","html-keyboard-response","21","174633","0.0-21.0","","<img src=""img/animals/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","174834","0.0-22.0","","","null","","","","","",""
"1242.7999999523163","","image-keyboard-response","23","176079","0.0-23.0","","img/animals/S1.jpg","49","1","Ns6,train","49","true","",""
"null","","html-keyboard-response","24","176431","0.0-24.0","","<img src=""img/animals/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","25","176632","0.0-25.0","","","null","","","","","",""
"2021.6000000238419","","image-keyboard-response","26","178658","0.0-26.0","","img/animals/S2.jpg","49","2","Ns6,train","50","false","",""
"null","","html-keyboard-response","27","179011","0.0-27.0","","<img src=""img/animals/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","28","179212","0.0-28.0","","","null","","","","","",""
"null","","image-keyboard-response","29","181714","0.0-29.0","","img/animals/S6.jpg","null","6","Ns6,train","54","false","",""
"null","","html-keyboard-response","30","182066","0.0-30.0","","<img src=""img/animals/S6.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","31","182267","0.0-31.0","","","null","","","","","",""
"262.2999999523163","","image-keyboard-response","32","182530","0.0-32.0","","img/animals/S6.jpg","52","6","Ns6,train","54","false","",""
"null","","html-keyboard-response","33","182882","0.0-33.0","","<img src=""img/animals/S6.jpg"" width=""540"" height = ""360"">","null","","","","","",""
