"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"23066.600000023842","consent.html","external-html","0","23153","0.0-0.0","","","","","","","","",""
"104163.80000007153","","instructions","1","127320","0.0-1.0","[{""page_index"":0,""viewing_time"":3957.3000000715256},{""page_index"":1,""viewing_time"":12815.5},{""page_index"":2,""viewing_time"":16615.699999928474},{""page_index"":3,""viewing_time"":13415.600000023842},{""page_index"":4,""viewing_time"":19279.700000047684},{""page_index"":5,""viewing_time"":13975.599999904633},{""page_index"":6,""viewing_time"":13951.700000047684},{""page_index"":7,""viewing_time"":10151.600000023842}]","","","","","","","",""
"950.8999999761581","","image-keyboard-response","2","128273","0.0-2.0-0.0","","img/nature/control/S2.jpg","49","2","Ns4,baseline","50","false","",""
"null","","html-keyboard-response","3","128578","0.0-2.0-1.0","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","128788","0.0-2.0-2.0","","","null","","","","","",""
"738.2000000476837","","image-keyboard-response","5","129529","0.0-2.0-0.1","","img/nature/control/S1.jpg","50","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","6","129838","0.0-2.0-1.1","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","130049","0.0-2.0-2.1","","","null","","","","","",""
"589.7999999523163","","image-keyboard-response","8","130640","0.0-2.0-0.2","","img/nature/control/S4.jpg","51","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","9","130948","0.0-2.0-1.2","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","10","131156","0.0-2.0-2.2","","","null","","","","","",""
"371.10000002384186","","image-keyboard-response","11","131529","0.0-2.0-0.3","","img/nature/control/S3.jpg","52","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","12","131839","0.0-2.0-1.3","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","13","132045","0.0-2.0-2.3","","","null","","","","","",""
"585.8999999761581","","image-keyboard-response","14","132632","0.0-2.0-0.4","","img/nature/control/S1.jpg","50","1","Ns4,baseline","49","false","",""
