"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"909777.599999994","consent.html","external-html","0","909849","0.0-0.0","","","","","","","","",""
"78680.79999999702","","instructions","1","988532","0.0-1.0","[{""page_index"":0,""viewing_time"":4001.7999999970198},{""page_index"":1,""viewing_time"":6736},{""page_index"":2,""viewing_time"":7851.0999999940395},{""page_index"":3,""viewing_time"":14749.70000000298},{""page_index"":4,""viewing_time"":20625.79999999702},{""page_index"":5,""viewing_time"":5643},{""page_index"":6,""viewing_time"":11275.40000000596},{""page_index"":7,""viewing_time"":7797.399999991059}]","","","","","","","",""
"747.9000000059605","","image-keyboard-response","2","989281","0.0-2.0-0.0","","img/nature/control/S3.jpg","49","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","3","989583","0.0-2.0-1.0","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","989785","0.0-2.0-2.0","","","null","","","","","",""
"523.2999999970198","","image-keyboard-response","5","990309","0.0-2.0-0.1","","img/nature/control/S1.jpg","49","1","Ns4,baseline","49","true","",""
"null","","html-keyboard-response","6","990611","0.0-2.0-1.1","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","7","990813","0.0-2.0-2.1","","","null","","","","","",""
"564.1000000089407","","image-keyboard-response","8","991378","0.0-2.0-0.2","","img/nature/control/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","9","991679","0.0-2.0-1.2","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","10","991891","0.0-2.0-2.2","","","null","","","","","",""
"847.7999999970198","","image-keyboard-response","11","992740","0.0-2.0-0.3","","img/nature/control/S4.jpg","49","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","12","993050","0.0-2.0-1.3","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","13","993251","0.0-2.0-2.3","","","null","","","","","",""
"729","","image-keyboard-response","14","993981","0.0-2.0-0.4","","img/nature/control/S1.jpg","51","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","15","994282","0.0-2.0-1.4","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","16","994484","0.0-2.0-2.4","","","null","","","","","",""
"720.8999999910593","","image-keyboard-response","17","995206","0.0-2.0-0.5","","img/nature/control/S3.jpg","50","3","Ns4,baseline","51","false","",""
"null","","html-keyboard-response","18","995522","0.0-2.0-1.5","","<img src=""img/nature/control/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","19","995724","0.0-2.0-2.5","","","null","","","","","",""
"542.6000000089407","","image-keyboard-response","20","996267","0.0-2.0-0.6","","img/nature/control/S4.jpg","50","4","Ns4,baseline","52","false","",""
"null","","html-keyboard-response","21","996574","0.0-2.0-1.6","","<img src=""img/nature/control/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","996778","0.0-2.0-2.6","","","null","","","","","",""
"641.3000000119209","","image-keyboard-response","23","997420","0.0-2.0-0.7","","img/nature/control/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","24","997722","0.0-2.0-1.7","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","25","997923","0.0-2.0-2.7","","","null","","","","","",""
"688.7000000029802","","image-keyboard-response","26","998613","0.0-2.0-0.8","","img/nature/control/S1.jpg","50","1","Ns4,baseline","49","false","",""
"null","","html-keyboard-response","27","998914","0.0-2.0-1.8","","<img src=""img/nature/control/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","28","999115","0.0-2.0-2.8","","","null","","","","","",""
"604.5999999940395","","image-keyboard-response","29","999720","0.0-2.0-0.9","","img/nature/control/S2.jpg","50","2","Ns4,baseline","50","true","",""
"null","","html-keyboard-response","30","1000032","0.0-2.0-1.9","","<img src=""img/nature/control/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","31","1000232","0.0-2.0-2.9","","","null","","","","","",""
