"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"18532.10000000149","consent.html","external-html","0","18684","0.0-0.0","","","","","","","","",""
"76861.10000000149","","instructions","1","95547","0.0-1.0","[{""page_index"":0,""viewing_time"":4589.60000000149},{""page_index"":1,""viewing_time"":8008.10000000149},{""page_index"":2,""viewing_time"":10436.19999999553},{""page_index"":3,""viewing_time"":18454.10000000149},{""page_index"":4,""viewing_time"":9620.10000000149},{""page_index"":5,""viewing_time"":8819.60000000149},{""page_index"":6,""viewing_time"":9706},{""page_index"":7,""viewing_time"":7226}]","","","","","","","",""
"869.2000000029802","","image-keyboard-response","2","96419","0.0-2.0","","img/nature/S3.jpg","49","3","Ns4,train","51","false","",""
"null","","html-keyboard-response","3","96775","0.0-3.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","4","96978","0.0-4.0","","","null","","","","","",""
"1111","","image-keyboard-response","5","98092","0.0-5.0","","img/nature/S2.jpg","52","2","Ns4,train","50","false","",""
"null","","html-keyboard-response","6","98445","0.0-6.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","7","98648","0.0-7.0","","","null","","","","","",""
"841.5","","image-keyboard-response","8","99491","0.0-8.0","","img/nature/S1.jpg","51","1","Ns4,train","49","false","",""
"null","","html-keyboard-response","9","99843","0.0-9.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","10","100044","0.0-10.0","","","null","","","","","",""
"639.1000000014901","","image-keyboard-response","11","100684","0.0-11.0","","img/nature/S3.jpg","50","3","Ns4,train","51","false","",""
"null","","html-keyboard-response","12","101036","0.0-12.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","13","101238","0.0-13.0","","","null","","","","","",""
"682.7000000029802","","image-keyboard-response","14","101923","0.0-14.0","","img/nature/S2.jpg","52","2","Ns4,train","50","false","",""
"null","","html-keyboard-response","15","102276","0.0-15.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","16","102478","0.0-16.0","","","null","","","","","",""
"567","","image-keyboard-response","17","103047","0.0-17.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","18","103399","0.0-18.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","19","103601","0.0-19.0","","","null","","","","","",""
"1067.5","","image-keyboard-response","20","104670","0.0-20.0","","img/nature/S4.jpg","50","4","Ns4,train","52","false","",""
"null","","html-keyboard-response","21","105022","0.0-21.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","22","105224","0.0-22.0","","","null","","","","","",""
"845.3999999985099","","image-keyboard-response","23","106071","0.0-23.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","24","106423","0.0-24.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","25","106625","0.0-25.0","","","null","","","","","",""
"604.0999999940395","","image-keyboard-response","26","107231","0.0-26.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","27","107584","0.0-27.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","28","107786","0.0-28.0","","","null","","","","","",""
"792.1999999955297","","image-keyboard-response","29","108579","0.0-29.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","30","108931","0.0-30.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","31","109134","0.0-31.0","","","null","","","","","",""
"951.8999999985099","","image-keyboard-response","32","110088","0.0-32.0","","img/nature/S2.jpg","49","2","Ns4,train","50","false","",""
"null","","html-keyboard-response","33","110440","0.0-33.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","34","110642","0.0-34.0","","","null","","","","","",""
"892.1999999955297","","image-keyboard-response","35","111537","0.0-35.0","","img/nature/S1.jpg","50","1","Ns4,train","49","false","",""
"null","","html-keyboard-response","36","111889","0.0-36.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","37","112091","0.0-37.0","","","null","","","","","",""
"1112.7000000029802","","image-keyboard-response","38","113206","0.0-38.0","","img/nature/S4.jpg","51","4","Ns4,train","52","false","",""
"null","","html-keyboard-response","39","113558","0.0-39.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","40","113760","0.0-40.0","","","null","","","","","",""
"1238.8999999985099","","image-keyboard-response","41","115001","0.0-41.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","42","115352","0.0-42.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","43","115554","0.0-43.0","","","null","","","","","",""
"420.69999999552965","","image-keyboard-response","44","115976","0.0-44.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","45","116328","0.0-45.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","46","116530","0.0-46.0","","","null","","","","","",""
"1523.1000000014901","","image-keyboard-response","47","118054","0.0-47.0","","img/nature/S2.jpg","51","2","Ns4,train","50","false","",""
"null","","html-keyboard-response","48","118405","0.0-48.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","49","118606","0.0-49.0","","","null","","","","","",""
"1393.6000000014901","","image-keyboard-response","50","120001","0.0-50.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","51","120353","0.0-51.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","52","120555","0.0-52.0","","","null","","","","","",""
"1420.3000000044703","","image-keyboard-response","53","121977","0.0-53.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","54","122330","0.0-54.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","55","122533","0.0-55.0","","","null","","","","","",""
"1157.7000000029802","","image-keyboard-response","56","123693","0.0-56.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","57","124044","0.0-57.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","58","124248","0.0-58.0","","","null","","","","","",""
"1233.5","","image-keyboard-response","59","125487","0.0-59.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","60","125839","0.0-60.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","61","126042","0.0-61.0","","","null","","","","","",""
"760.8999999985099","","image-keyboard-response","62","126805","0.0-62.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","63","127159","0.0-63.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","64","127361","0.0-64.0","","","null","","","","","",""
"2265.39999999851","","image-keyboard-response","65","129628","0.0-65.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","66","129982","0.0-66.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","67","130184","0.0-67.0","","","null","","","","","",""
"786.2999999970198","","image-keyboard-response","68","130972","0.0-68.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","69","131324","0.0-69.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","70","131530","0.0-70.0","","","null","","","","","",""
"1089.6000000014901","","image-keyboard-response","71","132622","0.0-71.0","","img/nature/S2.jpg","49","2","Ns4,train","50","false","",""
"null","","html-keyboard-response","72","132974","0.0-72.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"">","null","","","","","",""
"null","","html-keyboard-response","73","133177","0.0-73.0","","","null","","","","","",""
"713.2000000029802","","image-keyboard-response","74","133893","0.0-74.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","75","134246","0.0-75.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","76","134449","0.0-76.0","","","null","","","","","",""
"373.40000000596046","","image-keyboard-response","77","134824","0.0-77.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","78","135177","0.0-78.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","79","135379","0.0-79.0","","","null","","","","","",""
"709.6000000014901","","image-keyboard-response","80","136090","0.0-80.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","81","136443","0.0-81.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","82","136645","0.0-82.0","","","null","","","","","",""
"618.6000000014901","","image-keyboard-response","83","137266","0.0-83.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","84","137618","0.0-84.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
